vendor_code,annualised_spend_aud_m,year_on_year_spend_change_pct,category_spend_share_pct
VEN-00001,4.926533513977312,-10.007021534734353,35.8655406324095
VEN-00002,1.3371563565212423,-20.49801290402281,20.248324804612103
VEN-00003,1.568972895770432,-15.67979116935173,11.477776557717135
VEN-00004,4.922636971481035,19.585157649522003,28.034401903131613
VEN-00005,6.082752038914687,11.487311404583556,23.80460500639202
VEN-00006,5.24236264547735,-41.64327136233,21.137661324312727
VEN-00007,2.488795809564451,35.54442281247616,47.32154681905555
VEN-00008,3.660025396164005,47.87647682327067,46.15255140586994
VEN-00009,7.818281949220936,-41.91730871761842,41.695330369366346
VEN-00010,0.8159737861851335,35.3246645886169,62.04395514748404
VEN-00011,2.722449628320679,53.44350639745919,44.32045482829815
VEN-00012,0.1105219775850951,-40.49368566296142,31.59623060981527
VEN-00013,6.136526150914637,-4.616057581863913,11.8420250652358
VEN-00014,1.1492684175354868,-14.937742723628006,36.37757326157769
VEN-00015,1.1833333925529683,34.29520904183934,13.586985638387596
VEN-00016,2.3771704910274334,-3.196588100040765,25.55156908699389
VEN-00017,5.371003472087987,-4.273184298342368,49.18906227478575
VEN-00018,37.751237416434456,19.37418451822929,29.496372622767687
VEN-00019,0.4924617042172688,50.10971998768812,59.722856786147695
VEN-00020,1.0677331356553754,6.335578770087773,22.0545290100382
VEN-00021,3.4957712749535594,-4.709814878907514,12.763480557017507
VEN-00022,1.2221386392698153,0.3224718150434817,44.77669213439076
VEN-00023,6.817766697394545,25.769900996563717,47.02251201350416
VEN-00024,2.2601356194023667,-27.94733599877761,57.89214617290441
VEN-00025,7.198275185336669,7.556166573167464,23.73557921418892
VEN-00026,2.0681623598356293,-17.318872973068647,37.56479827571509
VEN-00027,4.9499253954674,-24.480934295016624,32.173636445369254
VEN-00028,0.9485296565230644,-44.5063245084383,34.73868515400242
VEN-00029,22.900613217439613,-5.904751529855497,62.07940866689792
VEN-00030,0.4191085038154411,37.12566072538708,49.54165082905723
VEN-00031,1.2478966299086085,-45.55128983012271,37.68194523551778
VEN-00032,0.5698270091608458,22.65340020557896,46.210733381177
VEN-00033,6.555656711800848,-9.518551755533451,21.63955143455406
VEN-00034,4.921294641077688,-20.71166300049191,11.606526691736484
VEN-00035,0.711765557434789,17.284642805971814,17.76928397432669
VEN-00036,8.140285171672515,43.38530863534571,39.35275223189678
VEN-00037,1.2606199459040115,48.44581650892054,32.78068639241602
VEN-00038,4.162228216377296,15.659878772480226,47.39957438562365
VEN-00039,5.388900130726128,6.102317695986757,24.88484760413797
VEN-00040,2.0764136172457506,18.571938974190445,20.33526812943562
VEN-00041,7.395255663967849,74.87798149561179,40.27550373225381
VEN-00042,2.319799338724528,0.0976412034632874,17.17886495838777
VEN-00043,3.945632272422896,38.6433061689194,35.344582505094166
VEN-00044,2.0106590602817778,-7.994061778320024,53.21464829880508
VEN-00045,0.348176849147741,-14.426982669175594,33.96561071038144
VEN-00046,2.372897818360061,55.760309596293766,49.14269116207863
VEN-00047,1.0397364815154684,8.071747922694826,55.78740046498047
VEN-00048,12.572299916012271,14.063295347680164,23.333972214284994
VEN-00049,0.6061706989235208,22.76759464573009,33.559393410103986
VEN-00050,10.459604808695826,-16.101519979288724,31.224158308136
VEN-00051,2.233011416233728,-3.833375036700645,24.271084432643168
VEN-00052,4.249589274765239,-9.33526519940266,16.110173764512286
VEN-00053,0.5957654924978875,16.968803801649862,13.164719106876833
VEN-00054,1.9354323645290687,17.899150257853087,7.563278547287074
VEN-00055,1.308548309021652,-8.213818766517928,8.964949647709327
VEN-00056,27.48297506416821,62.74968860975868,72.57755276306307
VEN-00057,1.2734378704730458,7.260778149008901,25.04755228034956
VEN-00058,9.666963962336531,10.775106458117005,18.95139853819337
VEN-00059,9.816859879836894,44.274300214338965,19.61931645676788
VEN-00060,9.518150665704391,-15.623056526972796,45.30815197104236
VEN-00061,1.414444445594342,-6.063538761750372,38.018244815753086
VEN-00062,19.794136918464336,15.70862257053598,10.55189141022455
VEN-00063,24.863466841697523,-31.842661038588474,21.83313538207846
VEN-00064,4.070752375512572,1.5887732856879904,26.490495852657205
VEN-00065,1.6291546306125295,63.37367295537145,46.56390732757476
VEN-00066,1.0547340962260767,57.38262792560252,40.18878524768697
VEN-00067,4.567358576833226,32.224839908441496,24.00225187306792
VEN-00068,2.9194420537741657,39.934316133449386,81.6128296263344
VEN-00069,3.3233943342869923,21.321285978265827,29.60686483578042
VEN-00070,0.6171429090607893,-3.650909083948276,14.592867082649024
VEN-00071,2.818613637098026,52.37657283719323,37.72525823339424
VEN-00072,9.56617553704993,-17.618259879292786,60.72305486510634
VEN-00073,6.663888032148039,34.14846755579144,29.54992916066014
VEN-00074,1.723687472068055,-5.748106294223465,47.04962142164197
VEN-00075,2.4110302331861937,-4.122302370586652,61.88162133879681
VEN-00076,0.540549865796541,22.54384445337975,63.94808104727024
VEN-00077,1.3076381886174269,62.91734807370125,37.38144950844388
VEN-00078,1.8700567697882635,46.57385416657105,27.444848082155666
VEN-00079,5.456178896079206,17.14654257354914,48.075377439762654
VEN-00080,1.249842106346175,9.697560375269063,13.826782279252932
VEN-00081,0.8697204722692555,29.099856303635143,25.20555309899903
VEN-00082,6.255411915631032,44.85941806361682,23.57140131968069
VEN-00083,1.7076783538566558,-39.53505339072604,24.75031697752917
VEN-00084,1.0802157318060224,4.57073030140498,34.85659599317899
VEN-00085,6.643594007989119,-20.41571441874801,43.6774424166556
VEN-00086,4.50262751995072,2.095640576070488,71.29628146946841
VEN-00087,2.163617697219541,-25.96342456864879,4.924061008225394
VEN-00088,1.847052634096641,-40.76384455527949,35.836701391994765
VEN-00089,4.126712156925192,-27.619783737068275,73.12810043659303
VEN-00090,4.916721985016882,-6.944715877809189,30.758227510667503
VEN-00091,3.420555215793397,23.836717856917915,28.321648744524392
