legal_entity_vendor_id,latest_revenue_change_pct,debt_to_ebitda,current_ratio,external_credit_score,supplier_days_payable_outstanding,invoice_dispute_count_12m
VEN-00001,-15.85160395870978,2.431958045771494,1.5417244309746576,780.7828996230979,39.29661621365883,0
VEN-00002,15.76248402086868,1.246456397546486,1.5777959995690507,579.2611488085769,32.04375635944464,0
VEN-00003,11.202932378925803,2.174264745972441,0.9776145883983464,622.5510714093491,55.28636235830933,1
VEN-00004,-6.466631177539181,4.290587272515221,1.435717897068318,681.8728146768387,14.6148651839177,1
VEN-00005,35.771527507776106,1.123722508373782,0.5594333883202159,561.7663335297873,53.13734168479826,2
VEN-00006,23.4337344724678,3.558602868617088,2.0423065458822878,789.372504586549,61.59178539761301,0
VEN-00007,14.606723549366288,1.258673522623735,1.0203980014725291,900.0,51.94079144028504,1
VEN-00008,14.48786187654239,1.525514445412544,0.9569199901606562,780.7447551831029,65.84736409299053,0
VEN-00009,17.498549471589023,2.017535610811381,0.7631382984361177,762.271339921706,15.59325882166302,3
VEN-00010,-3.7407065255146055,2.7439895247737214,0.667715565609612,506.5702453428249,51.31711367511316,0
VEN-00011,4.774089364120905,2.13560712814236,2.4439374500106426,639.9781341547955,47.19446014251606,0
VEN-00012,45.69566500611764,1.2287597765270193,2.428745963096606,584.4065323783932,15.428344747004758,1
VEN-00013,10.85212444594915,1.223766856783487,1.5549189400057248,711.3043291193997,59.5559746954116,3
VEN-00014,17.68545199030236,2.4685662732285945,1.3512893462561453,725.3421719550225,88.50358155972162,0
VEN-00015,-0.3706463341203374,3.7648234434271,1.549687896999982,668.1923934419017,52.59215225343406,0
VEN-00016,17.321001247056138,1.9896758160882624,0.8470336075141308,624.7891817147982,89.9971520340092,2
VEN-00017,14.03516956948241,2.283560765950545,1.0573608918030606,630.6919264724802,31.66411642058629,1
VEN-00018,-17.714549506143868,1.9392750474202576,1.820198099871967,663.2568264512812,76.89479086102114,2
VEN-00019,-6.47534610491492,1.2888533724048012,1.049036750058309,785.8298721136518,57.9243899775921,0
VEN-00020,32.80051937088217,2.04732966772782,0.870000352937703,614.2170571205088,67.15722491212777,0
VEN-00021,28.1879290059446,2.387823565394276,0.6722817488186209,626.3039324715206,26.76290631650958,1
VEN-00022,-1.4525888888503342,1.371709432211307,0.9567610456819784,667.3791431796999,80.33738863635504,1
VEN-00023,-9.646379190621516,1.102184359474498,0.9113205801510228,662.1844773777382,16.17948207394761,0
VEN-00024,33.82820717326511,1.6657438851737203,1.5158625908594796,594.9740096205177,41.79732582475906,0
VEN-00025,-13.871509157254389,1.4712329511427773,1.257006682876858,840.6309209243087,88.9422927986233,0
VEN-00026,23.66316882978324,0.8571843907247604,0.7457438245437471,804.7258406379183,61.74771084247842,0
VEN-00027,-1.1525926793300805,0.7661662805436691,1.0619078011835343,806.5696434672287,39.86480461049543,1
VEN-00028,33.8959837636144,3.831369325938394,0.9015495834075704,574.6433165477948,52.212325274657466,3
