service_provider_id,sla_breach_count_12m,availability_pct,incident_count_12m,critical_incident_count_12m,mean_time_to_resolve_hours,executive_escalation_count_12m,complaint_count_12m
VEN-00001,3,99.09754868576783,1,1,25.969639159236127,0,1
VEN-00002,0,99.0488465913807,1,0,8.765868686876036,1,0
VEN-00003,4,99.6721286734564,2,0,13.805572075375874,0,1
VEN-00004,4,98.2453056088902,0,0,18.05856326729772,0,2
VEN-00005,3,100.0,1,0,14.419146935006427,0,2
VEN-00006,7,99.67662245856786,0,0,36.17727638839572,0,1
VEN-00007,1,99.76419454322208,0,0,28.44748188356988,0,0
VEN-00008,2,100.0,1,0,40.07235687054875,0,0
VEN-00009,3,100.0,0,0,12.925073546796105,0,5
VEN-00010,4,100.0,0,0,7.563186401749256,0,0
VEN-00011,3,98.6167606272081,2,0,9.860977139368876,0,0
VEN-00012,1,98.9387551703024,1,0,13.581644877925887,1,2
VEN-00013,2,97.98790428914386,0,0,25.08751125298666,0,1
VEN-00014,2,98.63729477269392,1,0,4.2757699044879685,0,0
VEN-00015,1,99.7763368956754,2,0,6.192735038247089,0,0
VEN-00016,4,99.52137173259057,0,0,26.582828488751204,3,0
VEN-00017,1,99.80480510889193,2,1,9.016040039512246,0,2
VEN-00018,2,99.58436759531487,0,0,21.56493129077748,1,1
VEN-00019,2,99.24670582501555,0,0,23.339711349919263,0,2
VEN-00020,6,99.9941612628568,3,1,11.811823070838743,1,2
VEN-00021,4,98.5969246036082,1,1,37.39513343778522,0,1
VEN-00022,1,100.0,0,0,12.070280568072135,0,0
VEN-00023,2,100.0,2,0,23.662473853698447,0,3
VEN-00024,4,99.3494017698266,2,0,36.22504071170473,0,0
VEN-00025,1,99.25192685501658,1,0,31.88577402888212,0,0
VEN-00026,2,99.98162199858068,0,0,26.29370909144387,0,0
VEN-00027,2,99.5066690987362,2,0,13.755992935749784,1,0
VEN-00028,1,99.2208139217134,1,0,14.247428085161507,0,3
VEN-00029,3,99.68058003740371,3,0,21.26123974098521,2,1
VEN-00030,1,100.0,2,0,27.30041735090854,0,3
VEN-00031,2,98.82446619527894,1,0,21.480440170590835,1,3
VEN-00032,1,99.73191683785012,0,0,17.162820642710063,2,3
VEN-00033,0,99.0520855068816,2,0,7.892788256334805,0,0
VEN-00034,5,99.44068634114252,3,0,29.93249096835824,1,1
VEN-00035,3,98.75088984170992,1,0,13.309859425533194,0,1
VEN-00036,2,99.2324368293056,0,0,13.57686299931022,0,1
VEN-00037,5,99.70630625480348,0,0,25.8405180906494,1,1
VEN-00038,0,100.0,1,0,11.470463939768996,1,0
VEN-00039,1,99.378667594688,0,0,15.00707040972441,1,0
VEN-00040,1,100.0,2,1,25.848031012494225,0,0
VEN-00041,3,99.29767014357928,2,1,15.829001880431976,0,3
VEN-00042,2,99.5541105777309,0,0,11.17706847599619,0,2
VEN-00043,4,99.55829888967588,4,0,7.016572319132902,0,0
VEN-00044,1,99.26418220830016,1,0,14.018663682550638,0,1
VEN-00045,6,99.30175266719112,1,1,13.754765438936566,1,1
VEN-00046,3,99.9940361073154,2,0,27.664883855953928,1,2
VEN-00047,4,98.69773229642878,3,2,10.621454702613583,1,0
VEN-00048,6,100.0,0,0,15.957454158079743,0,0
VEN-00049,1,98.8673936006979,1,0,8.86037991526927,0,0
VEN-00050,2,99.51990189246384,2,2,25.87873849861601,0,0
VEN-00051,1,100.0,1,0,32.25301746741208,0,3
VEN-00052,0,98.89723613265636,1,0,14.150376137650634,1,1
VEN-00053,3,99.50877268616406,0,0,5.742099623544543,2,0
VEN-00054,0,99.7191559782053,2,1,14.271365768251393,1,0
VEN-00055,2,99.70410451019326,2,1,12.517804137519247,0,0
VEN-00056,2,99.99205322119938,4,1,46.80567735145944,1,0
VEN-00057,3,98.65379008704498,0,0,22.70428193115527,0,0
VEN-00058,1,99.90350820512651,0,0,17.524518879132902,3,1
VEN-00059,1,100.0,0,0,13.28631112325867,0,0
VEN-00060,4,100.0,0,0,10.5379803102674,2,1
VEN-00061,6,98.02000352715056,1,0,5.104536027181807,0,0
VEN-00062,2,100.0,3,0,30.05289792811982,0,0
VEN-00063,4,98.80328629145878,2,1,6.342356088561532,0,1
VEN-00064,3,100.0,4,0,18.234265207207105,0,1
VEN-00065,1,98.81784858166992,1,0,18.00596631073185,0,0
VEN-00066,4,100.0,2,0,14.04522716941822,0,0
VEN-00067,2,99.21319078787528,0,0,25.850700559878764,1,1
VEN-00068,2,99.2719463845396,2,0,16.30589812548478,0,1
VEN-00069,4,99.14279036825172,1,0,13.08654956376475,2,0
VEN-00070,3,99.25631993455202,0,0,19.32946009626212,0,0
VEN-00071,2,98.72706910895135,3,0,32.757026717808294,0,1
VEN-00072,2,99.94697275443347,1,0,20.47383214274823,0,1
VEN-00073,0,99.4359593805498,2,0,6.6453293147388415,0,3
VEN-00074,3,99.22569557128304,1,0,38.65180375230906,0,2
VEN-00075,3,99.76107166768765,2,0,9.094076524067926,1,2
VEN-00076,4,99.06362365360408,5,2,16.38562889090968,0,2
VEN-00077,0,99.22204846902726,1,1,11.047558504417788,1,0
VEN-00078,2,98.58435413671924,0,0,71.5759242606118,1,0
VEN-00079,2,99.20350489721258,0,0,16.20517247102923,0,1
VEN-00080,1,100.0,1,0,14.408943546350113,0,0
VEN-00081,3,99.97330448002997,1,0,18.70843094318009,0,1
VEN-00082,5,99.701687160035,2,0,34.79364678467847,1,1
VEN-00083,2,99.7954575956833,1,0,6.441916470027484,0,1
VEN-00084,0,99.70270259683912,2,0,22.707279109976337,0,1
VEN-00085,1,99.14262742423934,1,0,20.525183154014165,0,1
VEN-00086,2,100.0,3,0,13.410086585964372,0,0
VEN-00087,4,98.57304180101744,0,0,23.012952015663497,0,0
VEN-00088,5,99.67014512361249,1,0,30.067908068345535,1,1
VEN-00089,1,100.0,0,0,42.79681605224137,0,2
VEN-00090,2,99.14988643591936,2,0,3.6793878776405142,0,1
VEN-00091,3,99.63844681100562,1,0,14.180903396353074,1,2
VEN-00092,3,99.17932075014714,0,0,9.098553875220547,1,1
VEN-00093,5,100.0,3,0,27.359589660404957,0,0
VEN-00094,4,99.11102603289204,3,1,12.309591381329902,1,1
VEN-00095,0,98.9496341906838,1,0,26.75398194703756,0,1
VEN-00096,1,99.20474623305591,0,0,7.776221792931997,0,0
VEN-00097,0,98.6729628324304,1,0,24.946194911108797,0,1
VEN-00098,0,99.00986857755557,1,0,54.24015873884405,0,2
VEN-00099,1,98.72729588336789,0,0,17.12566943405275,1,1
VEN-00100,7,99.66652077043994,0,0,25.04183188396287,0,0
VEN-00101,3,99.16826512290493,2,0,30.527556718036717,0,1
VEN-00102,4,99.08303446961182,3,0,20.839519687757416,2,2
VEN-00103,3,99.823986751854,0,0,9.46775916296475,0,2
VEN-00104,1,98.62928007721658,1,0,24.55526802643631,0,1
